date,amount,category,description
2021-01-01,1000,income,salary
2021-01-02,-50,groceries,milk and eggs
2021-01-03,-100,entertainment,movie tickets
2021-01-04,-20,transportation,bus fare
2021-01-05,-200,bills,electricity bill
2021-01-06,-30,groceries,bread and cheese
2021-01-07,-150,clothing,new shoes
2021-01-08,-40,healthcare,prescription drugs
2021-01-09,-80,education,online course
2021-01-10,-60,entertainment,pizza delivery
2021-01-11,-25,transportation,taxi ride
2021-01-12,-300,bills,internet bill
2021-01-13,-50,groceries,fruits and vegetables
2023-04-27,2456,clothing,Shoe shopping
2023-03-17,-1036,clothing,Shoe shopping
2022-12-03,2088,clothing,Clothing purchase
2022-09-24,1159,education,Books and materials
2023-03-15,-4915,clothing,Shoe shopping
2023-05-14,-1593,clothing,Clothing purchase
2022-10-17,-325,clothing,Fashion accessories
2022-09-07,-1930,income,Rent
2023-01-30,-4963,groceries,Food expenses
2023-03-25,-4637,transportation,Gasoline expenses
2023-05-16,3401,transportation,Taxi ride
2022-07-25,-530,healthcare,Healthcare services
2022-07-08,4002,clothing,Shoe shopping
2022-08-13,-2904,income,Rent
2022-09-05,182,bills,Phone bill
2023-03-29,-4514,education,Tuition fees
2023-03-31,-2904,education,Online course payment
2022-07-01,2116,transportation,Public transportation fare
2022-08-15,-2353,entertainment,Movie tickets
2023-03-22,-1536,transportation,Gasoline expenses
2022-08-03,-805,groceries,Supermarket purchase
2023-04-14,4173,groceries,Supermarket purchase
2023-04-24,2358,clothing,Fashion accessories
2022-10-07,-1078,entertainment,Concert tickets
2022-09-23,45,clothing,Clothing purchase
2023-05-08,3782,entertainment,Concert tickets
2022-07-25,-2553,healthcare,Pharmacy purchase
2022-06-02,-4843,healthcare,Pharmacy purchase
2022-10-17,4927,education,Books and materials
2022-10-11,-2445,income,Trade Market
2022-08-12,2529,income,Rent
2023-03-04,4307,healthcare,Pharmacy purchase
2022-07-04,-2528,groceries,Supermarket purchase
2023-03-18,1494,clothing,Clothing purchase
2023-03-20,-2802,healthcare,Pharmacy purchase
2022-07-22,1847,income,salary
2023-05-15,-1403,healthcare,Medical expenses
2022-08-08,-3293,entertainment,Movie tickets
2022-08-05,-3248,education,Tuition fees
2023-02-23,4595,groceries,Grocery shopping
2022-06-14,2413,education,Books and materials
2023-01-27,-3824,groceries,Food expenses
2023-04-24,1255,education,Tuition fees
2022-07-15,4888,clothing,Fashion accessories
2022-05-30,4145,groceries,Food expenses
2023-04-08,-3739,income,salary
2023-02-03,666,income,Rent
2023-05-10,-2865,clothing,Clothing purchase
2022-08-25,-231,entertainment,Amusement park visit
2023-04-16,3150,healthcare,Pharmacy purchase
2023-02-11,-4609,healthcare,Medical expenses
2023-01-23,1762,groceries,Food expenses
2023-05-06,2022,transportation,Gasoline expenses
2022-09-19,2385,clothing,Shoe shopping
2022-06-09,4868,entertainment,Movie tickets
2022-11-25,-4128,healthcare,Medical expenses
2022-09-03,-3404,bills,Internet bill
2022-10-29,-2542,healthcare,Medical expenses
2023-01-30,-2259,clothing,Clothing purchase
2023-03-04,2499,education,Tuition fees
2023-05-17,4384,bills,Utility bill payment
2022-07-25,-2377,bills,Utility bill payment
2022-06-06,-3912,groceries,Grocery shopping
2022-11-30,4528,groceries,Food expenses
2023-04-08,1556,income,Trade Market
2022-07-29,3269,transportation,Public transportation fare
2023-05-23,-1233,healthcare,Medical expenses
2023-03-30,60,income,salary
2022-11-04,-3999,healthcare,Healthcare services
2022-07-10,-3008,clothing,Fashion accessories
2022-08-21,-1765,education,Tuition fees
2023-03-06,-2285,groceries,Supermarket purchase
2022-05-26,2148,income,salary
2022-10-25,774,clothing,Clothing purchase
2023-02-15,1464,bills,Utility bill payment
2023-05-05,3553,education,Books and materials
2023-05-20,1462,healthcare,Pharmacy purchase
2022-06-10,1540,transportation,Public transportation fare
2023-03-24,1814,education,Books and materials
